abbreviation,name,year,value
aux,Auxerre-Avalon,1365,NA
bea,Beaujolais and Maconnais,1365,NA
bor,Bordeaux,1365,NA
bur,Burgundy,1365,NA
cha1,Champagne 1,1365,NA
cha2,Champagne 2,1365,NA
gai,Gaillac- South-West,1365,NA
ger,Germany,1365,NA
hlv,High Loire Valley,1365,NA
idf,Ile de France,1365,NA
jur,Jura,1365,NA
lan,Languedoc,1365,NA
llv,Low Loire Valley,1365,NA
lux,Luxembourg,1365,NA
mar,Maritime alps,1365,NA
nit,Northern Italy,1365,NA
nlo,Northern  Lorraine,1365,NA
nrv,Northern Rhone valley,1365,NA
sav,Savoie,1365,NA
spa,Spain,1365,NA
slo,Southern Lorraine,1365,NA
srv,Southern Rhone valley,1365,NA
swi,Switzerland (Leman Lake),1365,NA
vse,Various South-East,1365,NA
vpc,Vendée - Poitou Charente,1365,NA
als,Alsace,1366,NA
auv,Auvergne,1366,NA
aux,Auxerre-Avalon,1366,NA
bea,Beaujolais and Maconnais,1366,NA
bor,Bordeaux,1366,NA
bur,Burgundy,1366,NA
cha1,Champagne 1,1366,NA
cha2,Champagne 2,1366,NA
gai,Gaillac- South-West,1366,NA
ger,Germany,1366,NA
hlv,High Loire Valley,1366,NA
idf,Ile de France,1366,NA
jur,Jura,1366,NA
lan,Languedoc,1366,NA
llv,Low Loire Valley,1366,NA
lux,Luxembourg,1366,NA
mar,Maritime alps,1366,NA
nit,Northern Italy,1366,NA
nlo,Northern  Lorraine,1366,NA
nrv,Northern Rhone valley,1366,NA
sav,Savoie,1366,NA
spa,Spain,1366,NA
slo,Southern Lorraine,1366,NA
srv,Southern Rhone valley,1366,NA
swi,Switzerland (Leman Lake),1366,NA
vse,Various South-East,1366,NA
vpc,Vendée - Poitou Charente,1366,NA
als,Alsace,1367,NA
auv,Auvergne,1367,NA
aux,Auxerre-Avalon,1367,NA
bea,Beaujolais and Maconnais,1367,NA
bor,Bordeaux,1367,NA
bur,Burgundy,1367,NA
cha1,Champagne 1,1367,NA
cha2,Champagne 2,1367,NA
gai,Gaillac- South-West,1367,NA
ger,Germany,1367,NA
hlv,High Loire Valley,1367,NA
idf,Ile de France,1367,NA
jur,Jura,1367,NA
lan,Languedoc,1367,NA
llv,Low Loire Valley,1367,NA
lux,Luxembourg,1367,NA
mar,Maritime alps,1367,NA
nit,Northern Italy,1367,NA
nlo,Northern  Lorraine,1367,NA
nrv,Northern Rhone valley,1367,NA
sav,Savoie,1367,NA
spa,Spain,1367,NA
slo,Southern Lorraine,1367,NA
srv,Southern Rhone valley,1367,NA
swi,Switzerland (Leman Lake),1367,NA
vse,Various South-East,1367,NA
vpc,Vendée - Poitou Charente,1367,NA
als,Alsace,1368,NA
auv,Auvergne,1368,NA
aux,Auxerre-Avalon,1368,NA
bea,Beaujolais and Maconnais,1368,NA
bor,Bordeaux,1368,NA
bur,Burgundy,1368,NA
cha1,Champagne 1,1368,NA
cha2,Champagne 2,1368,NA
gai,Gaillac- South-West,1368,NA
ger,Germany,1368,NA
hlv,High Loire Valley,1368,NA
idf,Ile de France,1368,NA
jur,Jura,1368,NA
lan,Languedoc,1368,NA
llv,Low Loire Valley,1368,NA
lux,Luxembourg,1368,NA
mar,Maritime alps,1368,NA
nit,Northern Italy,1368,NA
nlo,Northern  Lorraine,1368,NA
nrv,Northern Rhone valley,1368,NA
sav,Savoie,1368,NA
spa,Spain,1368,NA
slo,Southern Lorraine,1368,NA
srv,Southern Rhone valley,1368,NA
swi,Switzerland (Leman Lake),1368,NA
vse,Various South-East,1368,NA
vpc,Vendée - Poitou Charente,1368,NA
als,Alsace,1369,NA
auv,Auvergne,1369,NA
aux,Auxerre-Avalon,1369,NA
bea,Beaujolais and Maconnais,1369,NA
bor,Bordeaux,1369,NA
bur,Burgundy,1369,NA
cha1,Champagne 1,1369,NA
cha2,Champagne 2,1369,NA
gai,Gaillac- South-West,1369,NA
ger,Germany,1369,NA
hlv,High Loire Valley,1369,NA
idf,Ile de France,1369,NA
jur,Jura,1369,NA
lan,Languedoc,1369,NA
llv,Low Loire Valley,1369,NA
lux,Luxembourg,1369,NA
mar,Maritime alps,1369,NA
nit,Northern Italy,1369,NA
nlo,Northern  Lorraine,1369,NA
nrv,Northern Rhone valley,1369,NA
sav,Savoie,1369,NA
spa,Spain,1369,NA
slo,Southern Lorraine,1369,NA
srv,Southern Rhone valley,1369,NA
swi,Switzerland (Leman Lake),1369,NA
vse,Various South-East,1369,NA
vpc,Vendée - Poitou Charente,1369,NA
als,Alsace,1370,NA
auv,Auvergne,1370,NA
aux,Auxerre-Avalon,1370,NA
bea,Beaujolais and Maconnais,1370,NA
bor,Bordeaux,1370,NA
bur,Burgundy,1370,NA
cha1,Champagne 1,1370,NA
cha2,Champagne 2,1370,NA
gai,Gaillac- South-West,1370,NA
ger,Germany,1370,NA
hlv,High Loire Valley,1370,NA
idf,Ile de France,1370,NA
jur,Jura,1370,NA
lan,Languedoc,1370,NA
llv,Low Loire Valley,1370,NA
lux,Luxembourg,1370,NA
mar,Maritime alps,1370,NA
nit,Northern Italy,1370,NA
nlo,Northern  Lorraine,1370,NA
nrv,Northern Rhone valley,1370,NA
sav,Savoie,1370,NA
spa,Spain,1370,NA
slo,Southern Lorraine,1370,NA
srv,Southern Rhone valley,1370,NA
swi,Switzerland (Leman Lake),1370,NA
vse,Various South-East,1370,NA
vpc,Vendée - Poitou Charente,1370,NA
als,Alsace,1371,NA
auv,Auvergne,1371,NA
aux,Auxerre-Avalon,1371,NA
bea,Beaujolais and Maconnais,1371,NA
bor,Bordeaux,1371,NA
bur,Burgundy,1371,NA
cha1,Champagne 1,1371,NA
cha2,Champagne 2,1371,NA
gai,Gaillac- South-West,1371,NA
ger,Germany,1371,NA
hlv,High Loire Valley,1371,NA
idf,Ile de France,1371,NA
jur,Jura,1371,NA
lan,Languedoc,1371,NA
llv,Low Loire Valley,1371,NA
lux,Luxembourg,1371,NA
mar,Maritime alps,1371,NA
nit,Northern Italy,1371,NA
nlo,Northern  Lorraine,1371,NA
nrv,Northern Rhone valley,1371,NA
sav,Savoie,1371,NA
spa,Spain,1371,NA
slo,Southern Lorraine,1371,NA
srv,Southern Rhone valley,1371,NA
swi,Switzerland (Leman Lake),1371,NA
vse,Various South-East,1371,NA
vpc,Vendée - Poitou Charente,1371,NA
als,Alsace,1372,NA
auv,Auvergne,1372,NA
aux,Auxerre-Avalon,1372,NA
bea,Beaujolais and Maconnais,1372,NA
bor,Bordeaux,1372,NA
bur,Burgundy,1372,26.525252525252526
cha1,Champagne 1,1372,NA
cha2,Champagne 2,1372,NA
gai,Gaillac- South-West,1372,NA
ger,Germany,1372,NA
hlv,High Loire Valley,1372,NA
idf,Ile de France,1372,NA
jur,Jura,1372,NA
lan,Languedoc,1372,NA
llv,Low Loire Valley,1372,NA
lux,Luxembourg,1372,NA
mar,Maritime alps,1372,NA
nit,Northern Italy,1372,NA
nlo,Northern  Lorraine,1372,NA
nrv,Northern Rhone valley,1372,NA
sav,Savoie,1372,NA
spa,Spain,1372,NA
slo,Southern Lorraine,1372,NA
srv,Southern Rhone valley,1372,NA
swi,Switzerland (Leman Lake),1372,NA
vse,Various South-East,1372,NA
vpc,Vendée - Poitou Charente,1372,NA
als,Alsace,1373,NA
auv,Auvergne,1373,NA
aux,Auxerre-Avalon,1373,NA
bea,Beaujolais and Maconnais,1373,NA
bor,Bordeaux,1373,NA
bur,Burgundy,1373,18.12962962962963
cha1,Champagne 1,1373,NA
cha2,Champagne 2,1373,NA
gai,Gaillac- South-West,1373,NA
ger,Germany,1373,NA
hlv,High Loire Valley,1373,NA
idf,Ile de France,1373,NA
jur,Jura,1373,NA
lan,Languedoc,1373,NA
llv,Low Loire Valley,1373,NA
lux,Luxembourg,1373,NA
mar,Maritime alps,1373,NA
nit,Northern Italy,1373,NA
nlo,Northern  Lorraine,1373,NA
nrv,Northern Rhone valley,1373,NA
sav,Savoie,1373,NA
spa,Spain,1373,NA
slo,Southern Lorraine,1373,NA
srv,Southern Rhone valley,1373,NA
swi,Switzerland (Leman Lake),1373,NA
vse,Various South-East,1373,NA
vpc,Vendée - Poitou Charente,1373,NA
als,Alsace,1374,NA
auv,Auvergne,1374,NA
aux,Auxerre-Avalon,1374,NA
bea,Beaujolais and Maconnais,1374,NA
bor,Bordeaux,1374,NA
bur,Burgundy,1374,27.273333333333333
cha1,Champagne 1,1374,NA
cha2,Champagne 2,1374,NA
gai,Gaillac- South-West,1374,NA
ger,Germany,1374,NA
hlv,High Loire Valley,1374,NA
idf,Ile de France,1374,NA
jur,Jura,1374,NA
lan,Languedoc,1374,NA
llv,Low Loire Valley,1374,NA
lux,Luxembourg,1374,NA
mar,Maritime alps,1374,NA
nit,Northern Italy,1374,NA
nlo,Northern  Lorraine,1374,NA
nrv,Northern Rhone valley,1374,NA
sav,Savoie,1374,NA
spa,Spain,1374,NA
slo,Southern Lorraine,1374,NA
srv,Southern Rhone valley,1374,NA
swi,Switzerland (Leman Lake),1374,NA
vse,Various South-East,1374,NA
vpc,Vendée - Poitou Charente,1374,NA
als,Alsace,1375,NA
auv,Auvergne,1375,NA
aux,Auxerre-Avalon,1375,NA
bea,Beaujolais and Maconnais,1375,NA
bor,Bordeaux,1375,NA
bur,Burgundy,1375,19.525252525252526
cha1,Champagne 1,1375,NA
cha2,Champagne 2,1375,NA
gai,Gaillac- South-West,1375,NA
ger,Germany,1375,NA
hlv,High Loire Valley,1375,NA
idf,Ile de France,1375,NA
jur,Jura,1375,NA
lan,Languedoc,1375,NA
llv,Low Loire Valley,1375,NA
lux,Luxembourg,1375,NA
mar,Maritime alps,1375,NA
nit,Northern Italy,1375,NA
nlo,Northern  Lorraine,1375,NA
nrv,Northern Rhone valley,1375,NA
sav,Savoie,1375,NA
spa,Spain,1375,NA
slo,Southern Lorraine,1375,NA
srv,Southern Rhone valley,1375,NA
swi,Switzerland (Leman Lake),1375,NA
vse,Various South-East,1375,NA
vpc,Vendée - Poitou Charente,1375,NA
als,Alsace,1376,NA
auv,Auvergne,1376,NA
aux,Auxerre-Avalon,1376,NA
bea,Beaujolais and Maconnais,1376,NA
bor,Bordeaux,1376,NA
bur,Burgundy,1376,22.77777777777778
cha1,Champagne 1,1376,NA
cha2,Champagne 2,1376,NA
gai,Gaillac- South-West,1376,NA
ger,Germany,1376,NA
hlv,High Loire Valley,1376,NA
idf,Ile de France,1376,NA
jur,Jura,1376,NA
lan,Languedoc,1376,NA
llv,Low Loire Valley,1376,NA
lux,Luxembourg,1376,NA
mar,Maritime alps,1376,NA
nit,Northern Italy,1376,NA
nlo,Northern  Lorraine,1376,NA
nrv,Northern Rhone valley,1376,NA
sav,Savoie,1376,NA
spa,Spain,1376,NA
slo,Southern Lorraine,1376,NA
srv,Southern Rhone valley,1376,NA
swi,Switzerland (Leman Lake),1376,NA
vse,Various South-East,1376,NA
vpc,Vendée - Poitou Charente,1376,NA
als,Alsace,1377,NA
auv,Auvergne,1377,NA
aux,Auxerre-Avalon,1377,NA
bea,Beaujolais and Maconnais,1377,NA
bor,Bordeaux,1377,NA
bur,Burgundy,1377,NA
cha1,Champagne 1,1377,NA
cha2,Champagne 2,1377,NA
gai,Gaillac- South-West,1377,NA
ger,Germany,1377,NA
hlv,High Loire Valley,1377,NA
idf,Ile de France,1377,NA
jur,Jura,1377,NA
lan,Languedoc,1377,NA
llv,Low Loire Valley,1377,NA
lux,Luxembourg,1377,NA
mar,Maritime alps,1377,NA
nit,Northern Italy,1377,NA
nlo,Northern  Lorraine,1377,NA
nrv,Northern Rhone valley,1377,NA
sav,Savoie,1377,NA
spa,Spain,1377,NA
slo,Southern Lorraine,1377,NA
srv,Southern Rhone valley,1377,NA
swi,Switzerland (Leman Lake),1377,NA
vse,Various South-East,1377,NA
vpc,Vendée - Poitou Charente,1377,NA
als,Alsace,1378,NA
auv,Auvergne,1378,NA
aux,Auxerre-Avalon,1378,NA
bea,Beaujolais and Maconnais,1378,NA
bor,Bordeaux,1378,NA
bur,Burgundy,1378,22.877104377104377
cha1,Champagne 1,1378,NA
cha2,Champagne 2,1378,NA
gai,Gaillac- South-West,1378,NA
ger,Germany,1378,NA
hlv,High Loire Valley,1378,NA
idf,Ile de France,1378,NA
jur,Jura,1378,NA
lan,Languedoc,1378,NA
