year,period,enddate,description,doy,assessment,location,source
1828,Oct 2,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1829,Oct 13,NA,grape harvest begins  (d-of-Yr),286,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1830,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1831,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1832,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1833,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1834,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1835,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1836,Oct 7,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1837,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1838,Oct 9,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1839,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1840,Sep 27,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1841,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1842,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1843,Oct 17,NA,grape harvest begins  (d-of-Yr),290,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1844,Sep 25,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1845,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1846,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1847,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1848,Sep 29,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1849,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1850,Oct 9,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1851,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1852,Sep 27,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1853,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1854,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1855,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1856,Oct 2,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1857,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1858,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1859,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1860,Oct 8,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1861,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1862,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1863,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1864,Sep 29,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1865,Sep 9,NA,grape harvest begins  (d-of-Yr),252,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1866,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1867,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1868,Sep 15,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1869,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1870,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1871,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1872,Sep 27,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1873,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1874,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1875,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1876,Oct 7,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1877,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1878,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1879,Oct 16,NA,grape harvest begins  (d-of-Yr),289,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1880,Sep 27,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1881,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1882,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1883,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1884,Sep 29,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1885,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1886,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1887,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1888,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1889,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1890,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1891,Oct 10,NA,grape harvest begins  (d-of-Yr),283,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1892,Sep 23,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1893,Aug 28,NA,grape harvest begins  (d-of-Yr),240,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1894,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1895,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1896,Sep 28,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1897,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1898,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1899,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1900,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1901,Sep 14,NA,grape harvest begins  (d-of-Yr),257,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1902,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1903,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1904,Sep 20,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1905,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1906,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1907,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1908,Sep 24,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1909,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1910,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1911,Sep 15,NA,grape harvest begins  (d-of-Yr),258,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1912,Sep 29,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1913,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1914,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1915,Sep 15,NA,grape harvest begins  (d-of-Yr),258,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1916,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1917,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1918,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1919,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1920,Sep 22,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1921,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1922,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1923,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1924,Sep 25,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1925,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1926,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1927,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1928,Oct 1,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1929,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1930,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1931,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1932,Oct 12,NA,grape harvest begins  (d-of-Yr),286,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1933,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1934,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1935,Oct 3,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1936,Oct 1,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1937,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1938,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1939,Oct 16,NA,grape harvest begins  (d-of-Yr),289,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1940,Sep 23,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1941,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1942,Oct 7,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1943,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1944,Sep 28,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1945,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1946,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1947,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1948,Sep 25,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1949,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1950,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1951,Oct 15,NA,grape harvest begins  (d-of-Yr),288,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1952,Sep 18,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1953,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1954,Oct 7,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1955,Oct 3,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1956,Oct 11,NA,grape harvest begins  (d-of-Yr),285,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1957,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1958,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1959,Sep 15,NA,grape harvest begins  (d-of-Yr),258,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1960,Sep 19,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1961,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1962,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1963,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1964,Sep 20,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1965,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1966,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1967,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1968,Oct 1,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1969,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1970,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1971,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1972,Oct 6,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1973,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1974,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1975,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1976,Sep 6,NA,grape harvest begins  (d-of-Yr),250,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1977,Oct 3,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1978,Oct 7,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1979,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1980,Oct 9,NA,grape harvest begins  (d-of-Yr),283,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1981,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1982,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1983,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1984,Sep 29,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1985,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1986,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1987,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1988,Sep 22,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1989,Sep 13,NA,grape harvest begins  (d-of-Yr),256,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1990,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1991,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1992,Sep 15,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1993,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1994,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1995,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1996,Sep 22,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1997,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1998,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1999,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
2000,Sep 16,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
2001,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
2002,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2003,Aug 19,NA,grape harvest begins  (d-of-Yr),231,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2004,Sep 23,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
2005,Sep 12,NA,grape harvest begins  (d-of-Yr),255,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2006,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
2007,Sep 1,NA,grape harvest begins  (d-of-Yr),244,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2008,Sep 26,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
2009,Sep 8,NA,grape harvest begins  (d-of-Yr),251,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2010,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
2011,Aug 30,NA,grape harvest begins  (d-of-Yr),242,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2012,Sep 19,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
2013,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
2014,Sep 11,NA,grape harvest begins  (d-of-Yr),254,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2015,Sep 2,NA,grape harvest begins  (d-of-Yr),245,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2016,Sep 20,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
2017,Sep 1,NA,grape harvest begins  (d-of-Yr),244,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
2018,Aug 25,NA,grape harvest begins  (d-of-Yr),237,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
