year,period,enddate,description,doy,assessment,location,source
1504,Sep 14,NA,grape harvest begins  (d-of-Yr),258,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1505,Oct 17,NA,grape harvest begins  (d-of-Yr),290,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1506,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1507,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1508,Sep 26,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1509,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1510,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1511,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1512,Sep 23,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1513,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1514,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1515,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1516,Sep 11,NA,grape harvest begins  (d-of-Yr),255,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1517,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1518,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1519,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1520,Sep 12,NA,grape harvest begins  (d-of-Yr),256,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1521,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1522,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1523,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1524,Sep 15,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1525,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1526,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1527,Oct 10,NA,grape harvest begins  (d-of-Yr),283,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
